date,country,total.confirmation,X,X.1
20200211,906,16,NA,NA
20200212,906,16,NA,NA
20200213,906,16,NA,NA
20200214,906,16,NA,NA
20200215,906,16,NA,NA
20200216,906,16,NA,NA
20200217,906,16,NA,NA
20200218,906,16,NA,NA
20200219,906,16,NA,NA
20200220,906,16,NA,NA
20200221,906,16,NA,NA
20200222,906,16,NA,NA
20200223,906,16,NA,NA
20200224,906,16,NA,NA
20200225,906,17,NA,NA
20200226,906,27,NA,NA
20200227,906,46,NA,NA
20200228,906,48,NA,NA
20200229,906,79,NA,NA
20200301,906,130,NA,NA
20200302,906,159,NA,NA
20200303,906,196,NA,NA
20200304,906,262,NA,NA
20200305,906,482,NA,NA
20200306,906,670,NA,NA
20200307,906,799,NA,NA
20200308,906,1040,NA,NA
20200309,906,1176,NA,NA
20200310,906,1457,NA,NA
20200311,906,1908,NA,NA
20200312,906,2078,NA,NA
20200313,906,3675,NA,NA
20200314,906,4585,NA,NA
20200315,906,5795,NA,NA
20200316,906,7272,NA,NA
20200317,906,9257,NA,NA
20200318,906,12327,NA,NA
20200319,906,15320,NA,NA
20200320,906,19848,NA,NA
20200321,906,22213,NA,NA
20200322,906,24873,NA,NA
20200323,906,29056,NA,NA
20200324,906,32986,NA,NA
20200325,906,37323,NA,NA
20200326,906,43938,NA,NA
20200327,906,50871,NA,NA
20200328,906,57695,NA,NA
20200329,906,62095,NA,NA
20200330,906,66885,NA,NA
20200331,906,71808,NA,NA
20200401,906,77981,NA,NA
20200402,906,84794,NA,NA
20200403,906,91159,NA,NA
20200404,906,96092,NA,NA
20200405,906,100123,NA,NA
20200406,906,103374,NA,NA
20200407,906,107663,NA,NA
20200408,906,113296,NA,NA
20200409,906,118235,NA,NA
20200410,906,122171,NA,NA
20200411,906,125452,NA,NA
20200412,906,127854,NA,NA
20200413,906,130072,NA,NA
20200414,906,132210,NA,NA
20200415,906,134753,NA,NA
20200416,906,137698,NA,NA
20200417,906,141397,NA,NA
20200418,906,143475,NA,NA
20200419,906,145184,NA,NA
20200420,906,147065,NA,NA
20200421,906,148291,NA,NA
20200422,906,150648,NA,NA
20200423,906,153129,NA,NA
20200424,906,154999,NA,NA
20200425,906,156418,NA,NA
20200426,906,157770,NA,NA
20200427,906,158434,NA,NA
20200428,906,159912,NA,NA
20200429,906,161197,NA,NA
20200430,906,163009,NA,NA
20200501,906,164077,NA,NA
20200502,906,164967,NA,NA
20191210,907,0,NA,NA
20191211,907,0,NA,NA
20191212,907,0,NA,NA
20191213,907,0,NA,NA
20191214,907,0,NA,NA
20191215,907,0,NA,NA
20191216,907,0,NA,NA
20191217,907,0,NA,NA
20191218,907,0,NA,NA
20191219,907,0,NA,NA
20191220,907,0,NA,NA
